compton 0.1_beta2.5-10
confuse 3.2.1-1
conky 1.10.8-1
conky-i3 20180109-1
cool-retro-term 1.0.1-1
coreutils 8.29-1
cower 17-1
cppunit 1.14.0-1
cpupower 4.15-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.1-1
cty 2704-1
cups 2.2.6-4
cups-filters 1.20.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
curl 7.58.0-1
db 5.3.28-3
dbus 1.12.4-1
dbus-glib 0.110-1
dcadec 0.2.0-1
dconf 0.26.1-1
dconf-editor 3.26.2-1
deepin-account-faces 1.0.10-5
deepin-api 3.1.20-1.1
deepin-calculator 1.0.1-1
deepin-calendar 1.1.1-2
deepin-clutter 1.26.2-1
deepin-cogl 1.22.5-1
deepin-control-center 4.3.7-2.2
deepin-daemon 3.2.9-1.1
deepin-desktop-base 1:20180117-1
deepin-desktop-schemas-manjaro 3.2.6-4
deepin-dock 4.5.12-2.2
deepin-draw 1.0.0-1
deepin-file-manager 1:4.4.7-4.2
deepin-gtk-theme 17.10.5-1
deepin-help 15.5-1
deepin-icon-theme 15.12.52-1
deepin-iconthemes-manjaro 20170918-1
deepin-image-viewer 1.2.16.8-1
deepin-launcher 4.3.0-1.1
deepin-manual 1.0.6-1
deepin-menu 3.2.0-3.1
deepin-metacity 3.22.13-1
deepin-movie 1:3.2.0.3-1
deepin-music 3.1.7.2-2
deepin-mutter 3.20.26-1
deepin-notifications 3.1.2-2
deepin-picker 1.6.2-1
deepin-polkit-agent 0.1.1-2
deepin-qml-widgets 2.3.6-1
deepin-qt-dbus-factory 0.4.2-3
deepin-qt5dxcb-plugin 1.1.8-2.1
deepin-qt5integration 0.2.8.3-3.1
deepin-screen-recorder 2.7.3-1
deepin-screenshot 4.0.10.4-2
deepin-session-ui 4.2.0-1.2
deepin-shortcut-viewer 1.3.4-1
deepin-sound-theme 15.10.2-1
deepin-system-monitor 1.3.7-2
deepin-terminal 2.9.2-1
deepin-wallpapers 1:20180204-2
deepin-wm 1.9.21-2.1
deepin-wm-switcher 1.1.9-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-1
dhclient 4.4.1-1
dhcpcd 7.0.1-1
diffutils 3.6-1
ding-libs 0.6.1-1
djvulibre 3.5.27-3
dmenu-manjaro 4.7-2
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.78-2
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
dosfstools 4.1-1
double-conversion 3.0.0-1
downgrade 6.0.0-1
drbl 2.20.11-1
dtkcore 1:2.0.6-1.1
dtkwidget 2.0.6.1-2.1
dtkwm 2.0.6-2.1
dunst 1.3.1-1
dvd+rw-tools 7.1-7
e2fsprogs 1.43.9-1
ecryptfs-utils 111-2
efibootmgr 15-1
efivar 32-1
efl 1.20.6-1
elinks 0.13-19
emacs 25.3-3
enchant 2.2.3-1
evince 3.26.0+14+g2a499547-1
evolution 3.26.5-1
evolution-data-server 3.26.5-1
evtest 1.33-3
exempi 2.4.3+2+g65a8492-1
exfat-utils 1.2.7-1
expac 8-1
expat 2.2.5-1
expect 5.45.4-1
f2fs-tools 1.10.0-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
farstream 0.2.8-1
ffmpeg 1:3.4.2-1
ffmpeg2.8 2.8.13-5
ffmpegthumbnailer 2.2.0-1
fftw 3.3.7-1
file 5.32-1
file-roller 3.26.2-1
filesystem 2017.06-4.5
findutils 4.6.0-2
firefox 58.0.2-1.1
flac 1.3.2-1
fldigi 4.0.16-1
flex 2.6.4-1
fltk 1.3.4.2-2
flxmlrpc 0.1.4-1
fontconfig 2.12.6+5+g665584a-1
foomatic-db-engine 4:4.0.12-7
fpc 3.0.4-1
fpc-src 3.0.4-1
frame 2.5.0-1
freeglut 3.0.0-2
freeimage 3.17.0-2
freetype2 2.9-2
fribidi 1.0.1+8+gdf7252b-1
fuse-common 3.2.1-1
fuse2 2.9.7-4
fuse3 3.2.1-1
fzf 0.17.3-1
galculator 2.1.4-3
gawk 4.2.0-3
gc 7.6.4-1
gcab 1.0+2+gc0947f6-1
gcc 7.3.0-1
gcc-fortran 7.3.0-1
gcc-libs 7.3.0-1
gconf 3.2.6-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.11-1
gedit 3.22.1+1+gd21912e3e-1
gegl02 0.2.0-7
geis 2.2.17-2
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
geoip 1.6.11-1
geoip-database 20180206-1
geoip-database-extra 20180206-1
gettext 0.19.8.1-2
ghc-libs 8.2.2-1
ghostscript 9.22-7
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.16.2-1
gjs 1:1.50.4-1
gksu 2.0.2-6
glew 2.1.0-1
glib-networking 2.54.1-1
glib2 2.54.3+2+g94b38beff-1
glibc 2.26-11
glibmm 2.54.1-1
glu 9.0.0-4
gmime3 3.2.0-1
gmp 6.1.2-1
gnome-autoar 0.2.2-1
gnome-desktop 1:3.26.2-2
gnome-disk-utility 3.26.2-1
gnome-keyring 1:3.27.4+8+gff229abc-1
gnome-online-accounts 3.26.2-1
gnupg 2.2.5-1
gnuradio 3.7.11-5
gnutls 3.5.18-1
gobject-introspection-runtime 1.54.1-1
gparted 0.30.0-3
gpgme 1.10.0-2
gpm 1.20.7-8
gptfdisk 1.0.3-1
grail 3.1.1-1
granite 0.5-1
graphene 1.8.0-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
grub 2.02.0-4
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsettings-qt 0.1.20170110-1
gsfonts 20170829-1
gsl 2.4-1
gsm 1.0.17-1
gspell 1.7.1-1
gssproxy 0.8.0-1
gst-libav 1.12.4-1
gst-plugins-bad 1.12.4-3
gst-plugins-base 1.12.4-1
gst-plugins-base-libs 1.12.4-1
gst-plugins-good 1.12.4-2
gst-plugins-ugly 1.12.4-3
gstreamer 1.12.4-1
gtk-engine-murrine 0.98.2-3
gtk-update-icon-cache 3.22.28-1
gtk2 2.24.32-1
gtk3 3.22.28-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.6-1
gtkspell 2.0.16-7
gtkspell3 3.0.9-3
gufw 18.04.0-1
guile 2.2.3-1
gutenprint 5.2.13-1
gvfs 1.34.2-1
gvfs-afc 1.34.2-1
gvfs-gphoto2 1.34.2-1
gvfs-mtp 1.34.2-1
gvfs-smb 1.34.2-1
gzip 1.9-1
hamlib 3.1-2
happy 1.19.9-2
hardinfo 0.5.1-6
harfbuzz 1.7.5-1
harfbuzz-icu 1.7.5-1
haskell-async 2.1.1.1-6
haskell-base16-bytestring 0.1.1.6-7
haskell-base64-bytestring 1.0.0.1-10
haskell-cryptohash-sha256 0.11.101.0-2
haskell-echo 0.1.3-4
haskell-ed25519 0.0.5.0-6
haskell-edit-distance 0.2.2.1-7
haskell-hackage-security 0.5.2.2-16
haskell-hashable 1.2.6.1-6
haskell-http 4000.3.9-20
haskell-mtl 2.2.2-1
haskell-network 2.6.3.4-1
haskell-network-uri 2.6.1.0-11
haskell-parsec 3.1.13.0-2
haskell-primitive 0.6.3.0-1
haskell-quickcheck 2.10.1-3
haskell-random 1.1-10
haskell-stm 2.4.5.0-1
haskell-tar 0.5.0.3-6
haskell-text 1.2.3.0-2
haskell-tf-random 0.5-15
haskell-zlib 0.6.1.2-5
haveged 1.9.1-4
hdparm 9.52-1
hexchat 2.12.4-8
hicolor-icon-theme 0.17-1
hplip 3.17.11-1
hspell 1.4-1
htop 2.1.0-2
hunspell 1.6.2-1
hwids 20171003-1
hwinfo 21.52-1
hyphen 2.8.8-1
i3-default-artwork 20180109-1
i3-gaps 4.14.1-2
i3-help 20180110-1
i3-scripts 20180114-1
i3-scrot 1.1-1
i3blocks-git 1.4.r32.g403308b-1
i3exit 20170616-1
i3lock 2.10-1
i3status-manjaro 2.11-3
iana-etc 20180221-1
icu 60.2-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 7.0.7.23-1
imlib2 1.4.10-1
inetutils 1.9.4-5
intel-ucode 20171117-1
inxi 2.3.56-1
iproute2 4.15.0-1
iptables 1.6.2-2
iputils 20161105.1f2bb12-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
isousb 1.5-2
iw 4.14-1
jack 0.125.0-3
jansson 2.10-3
jasper 2.0.14-1
java-runtime-common 3-1
jbig2dec 0.14-1
jemalloc 1:5.0.1-4
jfsutils 1.1.15-4
jre8-openjdk 8.u162-0.1
jre8-openjdk-headless 8.u162-0.1
js 24.2.0-4
js52 52.5.2-1
json-c 0.13-1
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kauth 5.43.0-1
kbd 2.0.4-1
kcoreaddons 5.43.0-1
keyutils 1.5.10-1
kitemmodels 5.43.0-1
kmod 24-1
krb5 1.16-1
ladspa 1.13-6
lame 3.100-1
lapack 3.8.0-1
lbzip2 2.5-3
lcms 1.19-7
lcms2 2.9-1
ldb 1.3.1-1
ldns 1.7.0-4
less 530-1
lib32-alsa-lib 1.1.5-1
lib32-alsa-plugins 1.1.5-1
lib32-attr 2.4.47-2
lib32-bzip2 1.0.6-2
lib32-dbus 1.12.4-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-flex 2.6.4-1
lib32-gcc-libs 7.3.0-1
lib32-glew 2.1.0-1
lib32-glib2 2.54.2-2
